No. Cuota| Fecha      | Saldo      | Capital  | Interes  | Gastos| Comision| Total
1       | 2017-07-04 | 100,000.00 | 7,455.96 | 2,000.00 | 0.00   | 0.00    | 9,455.96
2       | 2017-08-04 | 92,544.04 | 7,605.08 | 1,850.88 | 0.00   | 0.00    | 9,455.96
3       | 2017-09-04 | 84,938.96 | 7,757.18 | 1,698.78 | 0.00   | 0.00    | 9,455.96
4       | 2017-10-04 | 77,181.78 | 7,912.32 | 1,543.64 | 0.00   | 0.00    | 9,455.96
5       | 2017-11-04 | 69,269.46 | 8,070.57 | 1,385.39 | 0.00   | 0.00    | 9,455.96
6       | 2017-12-04 | 61,198.89 | 8,231.98 | 1,223.98 | 0.00   | 0.00    | 9,455.96
7       | 2018-01-04 | 52,966.90 | 8,396.62 | 1,059.34 | 0.00   | 0.00    | 9,455.96
8       | 2018-02-04 | 44,570.28 | 8,564.55 | 891.41 | 0.00   | 0.00    | 9,455.96
9       | 2018-03-04 | 36,005.73 | 8,735.85 | 720.11 | 0.00   | 0.00    | 9,455.96
10       | 2018-04-04 | 27,269.88 | 8,910.56 | 545.40 | 0.00   | 0.00    | 9,455.96
11       | 2018-05-04 | 18,359.32 | 9,088.77 | 367.19 | 0.00   | 0.00    | 9,455.96
12       | 2018-06-04 | 9,270.55 | 9,270.55 | 185.41 | 0.00   | 0.00    | 9,455.96
